<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;181002;000000;205.17;205.98;198.62;199.5;78785280
SBER;D;181003;000000;200;202.47;196.85;198.3;76596520
SBER;D;181004;000000;197.91;198.19;189.25;189.35;87366140
SBER;D;181005;000000;188.98;191.59;185.05;187.2;103113200
SBER;D;181008;000000;187.05;193.6;182.51;191.85;82473320
SBER;D;181009;000000;193.5;196.04;188.7;191.25;85996750
SBER;D;181010;000000;192;195.12;188.81;189.89;67252690
SBER;D;181011;000000;184.84;187.83;182.3;185.27;124815860
SBER;D;181012;000000;187.8;192.16;187.61;191.85;62953360
SBER;D;181015;000000;192.5;193.89;189.45;190.92;54179560
SBER;D;181016;000000;190.02;196.2;189;196.05;63932100
SBER;D;181017;000000;198.4;198.8;192.92;194.05;78536820
SBER;D;181018;000000;193.48;194.2;190.8;191;49316170
SBER;D;181019;000000;191.2;191.7;183.8;183.8;96812630
SBER;D;181022;000000;184.84;187.72;180.03;180.7;92794800
SBER;D;181023;000000;178.89;182.5;177.02;181;77734500
SBER;D;181024;000000;182.51;189.25;180.5;188.01;106766580
SBER;D;181025;000000;185.66;188.75;184.03;186.71;79879160
SBER;D;181026;000000;185.77;185.85;178.27;181;92743040
SBER;D;181029;000000;180.6;186.3;178.64;185.59;61308190
SBER;D;181030;000000;183.9;186.82;181.74;184.78;60947920
SBER;D;181031;000000;186.17;189.8;184.83;189.8;66807090
SBER;D;181101;000000;189.54;191.36;186.7;188.67;77488300
SBER;D;181102;000000;189.97;192.98;188.57;192.6;69101360
SBER;D;181106;000000;194.51;197.85;193.73;197.8;65475770
SBER;D;181107;000000;197.41;203;195.4;201.9;98584000
SBER;D;181108;000000;201.98;204.7;200.1;202.89;94674040
SBER;D;181109;000000;200.38;201.96;194.33;195.75;95906430
SBER;D;181112;000000;197.97;201.85;196.4;196.82;82176760
SBER;D;181113;000000;195.5;199.7;193.68;196.56;78488310
SBER;D;181114;000000;195.21;199.56;193.18;199.2;82924950
SBER;D;181115;000000;200.02;202.5;199.5;200.15;62195840
SBER;D;181116;000000;201.12;203.5;198.71;199.26;66333750
SBER;D;181119;000000;198.95;200.7;197.5;197.99;50476830
SBER;D;181120;000000;197.25;197.8;191.81;194.21;66342610
SBER;D;181121;000000;194.07;198.4;193.38;197.5;58394580
SBER;D;181122;000000;197.95;200.01;195.92;199.4;49689840
SBER;D;181123;000000;198.58;198.77;194.86;197.3;50857500
SBER;D;181126;000000;197.5;197.79;185.53;188.5;117217680
SBER;D;181127;000000;189.92;192.45;188.11;191.03;87678410
SBER;D;181128;000000;191.61;193.27;189.45;190.2;60212610
SBER;D;181129;000000;191.85;196.37;191.1;195.76;83062140
SBER;D;181130;000000;194.05;194.25;191.22;194;67218160
SBER;D;181203;000000;197.99;201.9;197.58;200.3;81371000
SBER;D;181204;000000;200.3;200.7;196.93;199;57830610
SBER;D;181205;000000;195.69;196.8;194.05;196;49420360
SBER;D;181206;000000;194;194.23;190.11;192.19;64405800
SBER;D;181207;000000;193.51;196.35;192.2;195.01;63935050
SBER;D;181210;000000;192.72;193.92;190.39;191.8;61557850
SBER;D;181211;000000;192.18;193.8;190.2;192.57;54785390
SBER;D;181212;000000;193.3;193.9;190.45;190.45;50917260
SBER;D;181213;000000;190.23;191.55;188.56;189.17;43425460
SBER;D;181214;000000;188.85;189.1;183.73;184.93;73219440
SBER;D;181217;000000;184.65;186.96;182.11;182.3;59793100
SBER;D;181218;000000;180.66;186.6;180.37;186.6;79653690
SBER;D;181219;000000;185.45;188.85;184.35;188.85;61556660
SBER;D;181220;000000;185.95;191.82;185.31;189.3;87727280
SBER;D;181221;000000;188.74;190.05;185.7;186.79;60615750
SBER;D;181224;000000;186.1;187.26;183.51;184.3;32561380
SBER;D;181225;000000;182.41;183.47;179.04;183.3;34631200
SBER;D;181226;000000;183.92;185.5;182.35;183.4;30069720
SBER;D;181227;000000;187.2;187.4;184.18;185;47328110
SBER;D;181228;000000;185.78;187.22;184.98;186.5;39791870
SBER;D;181229;000000;186.9;187;185.31;186.3;9136600
SBER;D;190103;000000;186.37;191.5;186;186.99;40105780
SBER;D;190104;000000;187.99;190.99;187.77;190.99;32537090
SBER;D;190108;000000;191.66;193.18;190.37;191.24;38581950
SBER;D;190109;000000;192.71;197;192.1;197;70633230
SBER;D;190110;000000;196.3;197.64;195.03;196.75;56211650
SBER;D;190111;000000;197.13;198.96;195.61;196.8;63643670
SBER;D;190114;000000;195.68;197.44;194;196.8;44643520
SBER;D;190115;000000;197.39;198.84;195.91;198;52994790
SBER;D;190116;000000;198.64;201.3;198.02;201.26;62392390
SBER;D;190117;000000;201.67;203.55;201.05;203.32;59827610
SBER;D;190118;000000;204.6;208.44;203.83;208.44;74159420
SBER;D;190121;000000;208.92;210.2;207.17;207.17;55401630
SBER;D;190122;000000;206.65;208.88;205.63;207.95;51269620
SBER;D;190123;000000;207.75;212;207.52;210.4;79629180
SBER;D;190124;000000;210.4;213.43;208.55;212.2;78312890
SBER;D;190125;000000;212.77;214.14;211.01;212;58500020
